año;tipo_eleccion;seccion;cargo;codigo_distrito;distrito;partido_alianza;voto;%_voto
2019;General;2° Sección;Senadores;10;Arrecifes;NOS;204;1,02%
2019;General;2° Sección;Senadores;10;Arrecifes;FIT;238;1,19%
2019;General;2° Sección;Senadores;10;Arrecifes;Juntos por el Cambio;9841;49,38%
2019;General;2° Sección;Senadores;10;Arrecifes;Frente de Todos;8411;42,20%
2019;General;2° Sección;Senadores;10;Arrecifes;Consenso Federal;1237;6,21%
2019;General;2° Sección;Senadores;10;Arrecifes;Votos Blanco;1106;5,24%
2019;General;2° Sección;Senadores;10;Arrecifes;Votos Nulos;62;0,29%
2019;General;6° Sección;Senadores;1;Adolfo Alsina;NOS;60;0,56%
2019;General;6° Sección;Senadores;1;Adolfo Alsina;FIT;169;1,58%
2019;General;6° Sección;Senadores;1;Adolfo Alsina;Juntos por el Cambio;5858;54,86%
2019;General;6° Sección;Senadores;1;Adolfo Alsina;Frente de Todos;4077;38,18%
2019;General;6° Sección;Senadores;1;Adolfo Alsina;Consenso Federal;514;4,81%
2019;General;6° Sección;Senadores;1;Adolfo Alsina;Votos Blanco;772;6,72%
2019;General;6° Sección;Senadores;1;Adolfo Alsina;Votos Nulos;38;0,33%
2019;General;4° Sección;Diputados;2;Alberti;NOS;0;0%
2019;General;4° Sección;Diputados;2;Alberti;FIT;112;1,53%
2019;General;4° Sección;Diputados;2;Alberti;Juntos por el Cambio;3447;47,03%
2019;General;4° Sección;Diputados;2;Alberti;Frente de Todos;3499;47,74%
2019;General;4° Sección;Diputados;2;Alberti;Consenso Federal;272;3,71%
2019;General;4° Sección;Diputados;2;Alberti;Votos Blanco;566;7,15%
2019;General;4° Sección;Diputados;2;Alberti;Votos Nulos;16;0,20%
2019;General;3° Sección;Senadores;3;Alte. Brown;NOS;5947;1,70%
2019;General;3° Sección;Senadores;3;Alte. Brown;FIT;13907;3,97%
2019;General;3° Sección;Senadores;3;Alte. Brown;Juntos por el Cambio;97889;27,96%
2019;General;3° Sección;Senadores;3;Alte. Brown;Frente de Todos;211587;60,43%
2019;General;3° Sección;Senadores;3;Alte. Brown;Consenso Federal;20826;5,95%
2019;General;3° Sección;Senadores;3;Alte. Brown;Votos Blanco;16443;4,45%
2019;General;3° Sección;Senadores;3;Alte. Brown;Votos Nulos;3088;0,84%
2019;General;3° Sección;Senadores;4;Avellaneda;NOS;2449;1,06%
2019;General;3° Sección;Senadores;4;Avellaneda;FIT;8580;3,71%
2019;General;3° Sección;Senadores;4;Avellaneda;Juntos por el Cambio;80079;34,59%
2019;General;3° Sección;Senadores;4;Avellaneda;Frente de Todos;128456;55,49%
2019;General;3° Sección;Senadores;4;Avellaneda;Consenso Federal;11945;5,16%
2019;General;3° Sección;Senadores;4;Avellaneda;Votos Blanco;8557;3,55%
2019;General;3° Sección;Senadores;4;Avellaneda;Votos Nulos;1043;0,43%
2019;General;5° Sección;Diputados;5;Ayacucho;NOS;120;0,91%
2019;General;5° Sección;Diputados;5;Ayacucho;FIT;196;1,48%
2019;General;5° Sección;Diputados;5;Ayacucho;Juntos por el Cambio;6546;49,59%
2019;General;5° Sección;Diputados;5;Ayacucho;Frente de Todos;5804;43,97%
2019;General;5° Sección;Diputados;5;Ayacucho;Consenso Federal;535;4,05%
2019;General;5° Sección;Diputados;5;Ayacucho;Votos Blanco;1318;9,05%
2019;General;5° Sección;Diputados;5;Ayacucho;Votos Nulos;37;0,25%
2019;General;7° Sección;Diputados;6;Azul;NOS;0;0%
2019;General;7° Sección;Diputados;6;Azul;FIT;993;2,36%
2019;General;7° Sección;Diputados;6;Azul;Juntos por el Cambio;21573;51,24%
2019;General;7° Sección;Diputados;6;Azul;Frente de Todos;17710;42,06%
2019;General;7° Sección;Diputados;6;Azul;Consenso Federal;1829;4,34%
2019;General;7° Sección;Diputados;6;Azul;Votos Blanco;3666;7,94%
2019;General;7° Sección;Diputados;6;Azul;Votos Nulos;408;0,88%
2019;General;6° Sección;Senadores;56;Adolfo Gonzales Chaves;NOS;50;0,69%
2019;General;6° Sección;Senadores;56;Adolfo Gonzales Chaves;FIT;132;1,81%
2019;General;6° Sección;Senadores;56;Adolfo Gonzales Chaves;Juntos por el Cambio;2976;40,78%
2019;General;6° Sección;Senadores;56;Adolfo Gonzales Chaves;Frente de Todos;3893;53,35%
2019;General;6° Sección;Senadores;56;Adolfo Gonzales Chaves;Consenso Federal;246;3,37%
2019;General;6° Sección;Senadores;56;Adolfo Gonzales Chaves;Union Vecinal de Adolfo Gonzalez Chavez;0;0%
2019;General;6° Sección;Senadores;56;Adolfo Gonzales Chaves;Votos Blanco;1464;16,64%
2019;General;6° Sección;Senadores;56;Adolfo Gonzales Chaves;Votos Nulos;38;0,43%
2019;General;6° Sección;Senadores;7;Bahia Blanca;NOS;4874;2,55%
2019;General;6° Sección;Senadores;7;Bahia Blanca;FIT;7008;3,67%
2019;General;6° Sección;Senadores;7;Bahia Blanca;Juntos por el Cambio;100157;52,44%
2019;General;6° Sección;Senadores;7;Bahia Blanca;Frente de Todos;71016;37,18%
2019;General;6° Sección;Senadores;7;Bahia Blanca;Consenso Federal;7936;4,16%
2019;General;6° Sección;Senadores;7;Bahia Blanca;Todos por Bahia;0;0%
2019;General;6° Sección;Senadores;7;Bahia Blanca;Votos Blanco;10103;4,98%
2019;General;6° Sección;Senadores;7;Bahia Blanca;Votos Nulos;1665;0,82%
2019;General;5° Sección;Diputados;8;Balcarce;NOS;500;1,67%
2019;General;5° Sección;Diputados;8;Balcarce;FIT;499;1,66%
2019;General;5° Sección;Diputados;8;Balcarce;Juntos por el Cambio;16501;54,95%
2019;General;5° Sección;Diputados;8;Balcarce;Frente de Todos;10503;34,98%
2019;General;5° Sección;Diputados;8;Balcarce;Consenso Federal;2025;6,74%
2019;General;5° Sección;Diputados;8;Balcarce;Union Vecinal de Balcarce -UVB;0;0%
2019;General;5° Sección;Diputados;8;Balcarce;Votos Blanco;2232;6,88%
2019;General;5° Sección;Diputados;8;Balcarce;Votos Nulos;179;0,55%
2019;General;2° Sección;Senadores;9;Baradero;NOS;363;1,60%
2019;General;2° Sección;Senadores;9;Baradero;FIT;407;1,80%
2019;General;2° Sección;Senadores;9;Baradero;Juntos por el Cambio;8575;37,82%
2019;General;2° Sección;Senadores;9;Baradero;Frente de Todos;12530;55,26%
2019;General;2° Sección;Senadores;9;Baradero;Consenso Federal;799;3,52%
2019;General;2° Sección;Senadores;9;Baradero;Mision Accion Compromiso;0;0%
2019;General;2° Sección;Senadores;9;Baradero;Votos Blanco;1729;7,04%
2019;General;2° Sección;Senadores;9;Baradero;Votos Nulos;158;0,64%
