año;partido_alianza;apellido_nombre;codigo_distrito;distrito;cargo
2017;Zarate, Nuevo Zarate;Palermo Vanesa Liliana;125;Zarate;Concejales
2017;Zarate, Nuevo Zarate;Colella Guillermo Gaston;125;Zarate;Concejales
2017;Zarate, Nuevo Zarate;Bronca Carla;125;Zarate;Concejales
2017;Zarate, Nuevo Zarate;Tulia Mauro Alfredo;125;Zarate;Concejales
2017;Zarate, Nuevo Zarate;Allemann Ana Laura;125;Zarate;Concejales
2017;Zarate, Nuevo Zarate;Gerlo Nestor Mario;125;Zarate;Concejales
2017;Union Vecinal Salliquelo;Gil Constanza;100;Salliquelo;Consejeros Esc.
2017;Union Vecinal Salliquelo;Nosetti Juan Miguel;100;Salliquelo;Concejales
2017;Union Vecinal Salliquelo;Martinengo Laura Alicia;100;Salliquelo;Concejales
2017;Union Vecinal Salliquelo;Niell Dario Oscar;100;Salliquelo;Concejales
2017;Union Vecinal Salliquelo;Diez Sandra Ivone;100;Salliquelo;Concejales
2017;Union Vecinal Salliquelo;Breser Marcelo Alcides;100;Salliquelo;Consejeros Esc.
2019;Union Vecinal Salliquelo;Juan Miguel Nosetti;100;Salliquelo;Intendente
2017;Union Vecinal de Adolfo Gonzales Chaves;Dahul Juan Pedro;56;Adolfo Gonzales Chaves;Concejales
2017;Union Vecinal de Adolfo Gonzales Chaves;Atela Guillermina;56;Adolfo Gonzales Chaves;Concejales
2017;Union Vecinal de Adolfo Gonzales Chaves;Fortunato Jose Miguel;56;Adolfo Gonzales Chaves;Concejales
2017;Union Vecinal de Adolfo Gonzales Chaves;Zoppo Sandra Elizabeth;56;Adolfo Gonzales Chaves;Concejales
2017;San Isidro, Con Vocacion por ;Feldtmann Maria Ines;106;San Isidro;Concejales
2017;San Isidro, Con Vocacion por ;Gianferro Pablo Daniel;106;San Isidro;Concejales
2017;San Isidro, Con Vocacion por ;Matozzi Sofia;106;San Isidro;Concejales
2017;San Isidro, Con Vocacion por ;Abella Nazar, Manuel;106;San Isidro;Concejales
2017;San Isidro, Con Vocacion por ;Riganti Catalina;106;San Isidro;Concejales
2017;San Isidro, Con Vocacion por ;Lucena Alejandro Tomas;106;San Isidro;Concejales
2017;Partido de Pinamar, Propuesta Pinamar;Elorz Jose Roberto;090;Partido De Pinamar;Concejales
2017;Partido de Pinamar, Propuesta Pinamar;Ferretti Gabriela Susana;090;Partido De Pinamar;Concejales
2017;Partido de Pinamar, Propuesta Pinamar;Lopez Marcos Jose;090;Partido De Pinamar;Concejales
2017;Partido de Pinamar, Propuesta Pinamar;Villegas Lourdes Mariana;090;Partido De Pinamar;Concejales
2017;Movimiento Vecinal Del Partido de Tres Arroyos;Zorrilla, Luis María;117;Tres Arroyos;Concejales
2017;Movimiento Vecinal Del Partido de Tres Arroyos;Mirmi, María Graciela;117;Tres Arroyos;Concejales
2017;Movimiento Vecinal Del Partido de Tres Arroyos;Aramberri, Juan Francisco;117;Tres Arroyos;Concejales
2017;Movimiento Vecinal Del Partido de Tres Arroyos;Pellegrini, Marta Noemi;117;Tres Arroyos;Concejales
2019;Movimiento Vecinal Del Partido de Tres Arroyos;Carlos Alberto Sánchez;117;Tres Arroyos;Intendente
2019;Juntos por  el  Cambio;Alexander Malcolm Campbell;1 Seccion;Primera Sección;Diputados
2019;Juntos por  el  Cambio;Verónica Mabel Barbieri;1 Seccion;Primera Sección;Diputados
2019;Juntos por  el  Cambio;Walter Héctor Carusso;1 Seccion;Primera Sección;Diputados
2019;Juntos por  el  Cambio;Catalina María Buitrago;1 Seccion;Primera Sección;Diputados
2019;Juntos por  el  Cambio;Luciano David Bugallo Di Prinzio;1 Seccion;Primera Sección;Diputados
2019;Juntos por  el  Cambio;Noelia Florencia Ruiz;1 Seccion;Primera Sección;Diputados
2019;Juntos por  el  Cambio;Hugo Francisco Oroño;1 Seccion;Primera Sección;Diputados
2019;Juntos por  el  Cambio;Gabriela Elizabeth Caruso;1 Seccion;Primera Sección;Diputados
2019;Juntos por  el  Cambio;Julián Darío Segovia;1 Seccion;Primera Sección;Diputados
2019;Juntos por  el  Cambio;Ana Carolina Podlesker;1 Seccion;Primera Sección;Diputados
2019;Juntos por  el  Cambio;Sebastián Javier Pereiro;1 Seccion;Primera Sección;Diputados
2019;Juntos por  el  Cambio;Claudia María Asseff;1 Seccion;Primera Sección;Diputados
2019;Juntos por  el  Cambio;Owen Mariano Fernández Farquharson;2 Seccion;Segunda Sección;Senador
2019;Juntos por  el  Cambio;Elisa Beatriz Carca;2 Seccion;Segunda Sección;Senador
2019;Juntos por  el  Cambio;Julio Marcelo Dileo;2 Seccion;Segunda Sección;Senador
2019;Juntos por  el  Cambio;María Rosa Méndez;2 Seccion;Segunda Sección;Senador
2019;Juntos por  el  Cambio;María Lorena Petrovich;3 Seccion ;Tercera Sección ;Senador
2019;Juntos por  el  Cambio;Walter Daniel Lanaro;3 Seccion ;Tercera Sección ;Senador
2019;Juntos por  el  Cambio;Claudia Mónica Rucci;3 Seccion ;Tercera Sección ;Senador
2019;Juntos por  el  Cambio;Roberto Vila;3 Seccion ;Tercera Sección ;Senador
2019;Juntos por  el  Cambio;María Celina Martínez Sante;3 Seccion ;Tercera Sección ;Senador
2019;Juntos por  el  Cambio;Roberto Fabián Leonis;3 Seccion ;Tercera Sección ;Senador
2019;Juntos por  el  Cambio;María Laura Ricchini;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;Valentín Miranda;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;Vanesa Zuccari;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;Mauricio Andrés Vivani;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;Anastasia Peralta Ramos;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;Fernando Rovello;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;María Eugenia Brizzi;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;Tomás Salomone;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;Jorgelina Andrea Soñez;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;Daniel Antonio Cepa;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;María Del Rosario Galland;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;Javier Sánchez Wrba;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;Mónica Alejandra Arango;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;Federico Luis Arata;4 Seccion;Cuarta Sección;Diputados
2019;Juntos por  el  Cambio;Maximiliano Abad;5 Seccion ;Quinta Sección;Diputados
2019;Juntos por  el  Cambio;Natalia Andrea Sánchez Jáuregui;5 Seccion ;Quinta Sección;Diputados
2019;Juntos por  el  Cambio;Sergio Hernán Siciliano;5 Seccion ;Quinta Sección;Diputados
2019;Juntos por  el  Cambio;Melisa Gisela Greco;5 Seccion ;Quinta Sección;Diputados
2019;Juntos por  el  Cambio;Sergio Martín Domínguez Yelpo;5 Seccion ;Quinta Sección;Diputados
2019;Juntos por  el  Cambio;Johanna Pamela Panebianco;5 Seccion ;Quinta Sección;Diputados
2019;Juntos por  el  Cambio;Mauricio Longin D' Alessandro;5 Seccion ;Quinta Sección;Diputados
2019;Juntos por  el  Cambio;María Florencia Matilde Ranellucci;5 Seccion ;Quinta Sección;Diputados
2019;Juntos por  el  Cambio;Hugo Ezio Ernesto Rossi;5 Seccion ;Quinta Sección;Diputados
2019;Juntos por  el  Cambio;Marta Aída Beatriz Laxalt;5 Seccion ;Quinta Sección;Diputados
2019;Juntos por  el  Cambio;María Cristina Coria;5 Seccion ;Quinta Sección;Diputados
2019;Juntos por  el  Cambio;Juan Leonardo Manazzoni;5 Seccion ;Quinta Sección;Diputados
2019;Juntos por  el  Cambio;José Andrés De Leo;6 Seccion ;Sexta Sección;Senador
2019;Juntos por  el  Cambio;Nidia Alicia Moirano;6 Seccion ;Sexta Sección;Senador
2019;Juntos por  el  Cambio;David Abel Hirtz;6 Seccion ;Sexta Sección;Senador
2019;Juntos por  el  Cambio;Abigail Gabriela Gómez;6 Seccion ;Sexta Sección;Senador
2019;Juntos por  el  Cambio;Francisco Díaz Vega;6 Seccion ;Sexta Sección;Senador
2019;Juntos por  el  Cambio;Julieta María Centeno Lascano;6 Seccion ;Sexta Sección;Senador
2019;Juntos por  el  Cambio;Juan Bautista María Carrara;7 Seccion ;Septima Sección;Diputados
2019;Juntos por  el  Cambio;María Alejandra Lorden;7 Seccion ;Septima Sección;Diputados
2019;Juntos por  el  Cambio;Daniel Andrés Lipovetzky;7 Seccion ;Septima Sección;Diputados
2019;Juntos por  el  Cambio;Silvana Daniela Rosales;7 Seccion ;Septima Sección;Diputados
2019;Juntos por  el  Cambio;Hernán Diego Canullan;7 Seccion ;Septima Sección;Diputados
2019;Juntos por  el  Cambio;María Soledad Dibetto Gil;7 Seccion ;Septima Sección;Diputados
2019;Juntos por  el  Cambio;Juan Pablo Allan;8 Seccion ;Sección Capital;Senador
2019;Juntos por  el  Cambio;María Florencia Barcia;8 Seccion ;Sección Capital;Senador
2019;Juntos por  el  Cambio;José Francisco Etchart Mandon;8 Seccion ;Sección Capital;Senador
2019;Juntos por  el  Cambio;María Laura Barisone;8 Seccion ;Sección Capital;Senador
2019;Juntos por  el  Cambio;Javier Andrés;1;Adolfo Alsina;Intendente
2019;Juntos por  el  Cambio;Emilio Cordonnier;5;Ayacucho;Intendente
2019;Juntos por  el  Cambio;Federico Hernán Bertellys;6;Azul;Intendente
2019;Juntos por  el  Cambio;Héctor Norberto Gay;7;Bahia Blanca;Intendente
2019;Juntos por  el  Cambio;Esteban Andrés Reino;8;Balcarce;Intendente
2019;Juntos por  el  Cambio;Javier Ignacio Olaeta;10;Arrecifes;Intendente
2019;Juntos por  el  Cambio;Héctor Vicente Gatica;14;Bragado;Intendente
2019;Juntos por  el  Cambio;Oscar Daniel Cappelletti;15;Brandsen;Intendente
2019;Juntos por  el  Cambio;Sebastián Abella;16;Campana;Intendente
2019;Juntos por  el  Cambio;Javier Alfredo Iguacel;18;Capitan Sarmiento;Intendente
2019;Juntos por  el  Cambio;José Luis Zara;22;Patagones;Intendente
2019;Juntos por  el  Cambio;Mariano Cecilio Uset;25;Coronel Dorrego;Intendente
2019;Juntos por  el  Cambio;Raúl Germán Reyes;26;Coronel Pringles;Intendente
2019;Juntos por  el  Cambio;Lisandro Matzkin;27;Coronel Rosales;Intendente
2019;Juntos por  el  Cambio;Víctor Reinaldo Aiola;29;Chacabuco;Intendente
2019;Juntos por  el  Cambio;Luis María Camilo Etchevarren;33;Dolores;Intendente
2019;Juntos por  el  Cambio;Ramón José Capra;40;General Alvear;Intendente
2019;Juntos por  el  Cambio;Erica Silvana Revilla;41;General Arenales;Intendente
