seccion;codigo_distrito;distrito;intendente_partido_alianza;intendente_nombre_apellido;hcd_nombre_apellido;cantidad_hcd
7;121;25 De Mayo;Frente De Todos;Angel Hernán Horacio Ralinqueo;Cecilia Vanesa Pezzelatto;16
4;83;9 De Julio;Juntos Por El Cambio;Mariano Edmundo Barroso;Maria Jose Gentile;18
6;1;Adolfo Alsina;Juntos Por El Cambio;Javier Andrés;Juan De Ortuzar;12
6;56;Adolfo Gonzales Chaves;Frente De Todos;Eduardo Marcelo Santillán;Ethel Del Lujan Diez;12
4;2;Alberti;Frente De Todos;Germán Lago;Silvina Vaccarezza;12
3;3;Almirante Brown;Frente De Todos;Mariano Cascallares;Nicolas Jawtuschenko;24
2;10;Arrecifes;Juntos Por El Cambio;Javier Ignacio Olaeta;Francisco Jose Boveda;14
3;4;Avellaneda;Frente De Todos;Jorge Horacio Ferraresi;Hugo Barrueco;24
5;5;Ayacucho;Juntos Por El Cambio;Emilio Cordonnier;Ferrari Miriam;14
7;6;Azul;Juntos Por El Cambio;Federico Hernán Bertellys;Juan Sáenz;18
6;7;Bahia Blanca;Juntos Por El Cambio;Héctor Norberto Gay;Fernando Compagnoni ;24
5;8;Balcarce;Juntos Por El Cambio;Esteban Andrés Reino;Leandro Spinelli;18
2;9;Baradero;Frente De Todos;Esteban Damián Sanzio;Silvana Lozzia;16
6;59;Benito Juarez;Frente De Todos;Julio César Marini;Ramiro Peon;14
3;11;Berazategui;Frente De Todos;Juan José Mussi;Gustavo Roesler;24
3;12;Berisso;Frente De Todos;Fabián Gustavo Cagliardi;Vanesa Queyffer;20
7;13;Bolivar;Frente De Todos;Marcos Emilio Pisano;Mariano  Luis María;16
4;14;Bragado;Juntos Por El Cambio;Héctor Vicente Gatica;Aldo Expósito;18
3;15;Brandsen;Juntos Por El Cambio;Oscar Daniel Cappelletti;Paz  Raúl Alberto;14
1;16;Campana;Juntos Por El Cambio;Sebastián Abella;Marina Casaretto;20
3;17;Cañuelas;Frente De Todos;Marisa Viviana Amalia Fassi;Trejo  Margarita;18
2;18;Capitan Sarmiento;Juntos Por El Cambio;Javier Alfredo Iguacel;Vidal  María;12
4;19;Carlos Casares;Frente De Todos;Walter Sergio Torchio;Gemelli  Emanuel;14
4;20;Carlos Tejedor;Frente De Todos;María C Gianini;Jorge Erramouspe;12
2;21;Carmen De Areco;Frente De Todos;Iván Darío Villagrán;Mac Dermott  Nicolás ;12
5;23;Castelli;Frente De Todos;Francisco José Echarren;Traverso  Azucena;10
4;29;Chacabuco;Juntos Por El Cambio;Víctor Reinaldo Aiola;Lisandro Herrera;18
5;30;Chascomus;Frente De Todos;Javier Gastón;Héctor Larramendy;16
4;31;Chivilcoy;Consenso Federal;Guillermo Alejandro Britos;Lucas Burgos;18
2;24;Colon;Frente De Todos;Ricardo Miguel Casi;Pablo Gabriel Pino;14
6;25;Coronel Dorrego;Juntos Por El Cambio;Mariano Cecilio Uset;Nicolás Aramayo;12
6;26;Coronel Pringles;Juntos Por El Cambio;Raúl Germán Reyes;Gastón Nomdedeu;14
6;27;Coronel Rosales;Juntos Por El Cambio;Lisandro Matzkin;Carlos Berterret;18
6;28;Coronel Suarez;Frente De Todos;Ricardo Alejo Moccero;Hugo Fabián González;16
6;32;Daireaux;Frente De Todos;Esteban Alejandro Acerbo;Jonás Doncel;12
5;33;Dolores;Juntos Por El Cambio;Luis María Camilo Etchevarren;Blasetti Luis Alberto;14
3;34;Ensenada;Frente De Todos;Mario Carlos Secco;Luis Oscar Carranza;18
1;35;Escobar;Frente De Todos;Ariel Bernardo Sujarchuk;Analía Pérez  ;24
3;36;Esteban Echeverria;Frente De Todos;Fernando Javier Gray;David  Martín Federico;24
2;37;Exaltacion De La Cruz;Frente De Todos;Diego Eduardo Nanni;Dulce Granados;14
3;132;Ezeiza;Frente De Todos;Alejandro Santiago Granados;Laura Ravagni;20
3;38;Florencio Varela;Frente De Todos;Andrés Guillermo Watson;Sabino Luis Lahitte;24
4;127;Florentino  Ameghino;Juntos Por El Cambio;Calixto Agustín Tellechea;Sabina Vujovich;10
5;39;General Alvarado;Frente De Todos;Leandro Sebastián Lanantuony;Silvia Beatriz Cappelletti;16
7;40;General Alvear;Juntos Por El Cambio;Ramón José Capra;Raul Rinaldi;12
4;41;General Arenales;Juntos Por El Cambio;Erica Silvana Revilla;Andrea Paola Mamone;12
5;42;General Belgrano;Juntos Por El Cambio;Osvaldo Mario Dinapoli;Arturo Nicolás Leonelli;12
5;43;General Guido;Frente De Todos;Carlos Humberto Rocha;Magdalena Pinedo;6
6;44;General La Madrid;Juntos Por El Cambio;Martín Randazzo;Marcela Figueroa;12
1;45;General Las Heras;Frente De Todos;Carlos Javier Osuna;Graciela Baca;12
5;46;General Lavalle;Juntos Por El Cambio;José Humberto Rodríguez Ponte ;Nahuel Guardia;6
5;47;General Madariaga;Juntos Por El Cambio;Carlos Esteban Santoro;Daniela Ayelén Borda;12
5;48;General Paz;Frente De Todos;Juan Manuel Alvarez;Sara Magdalena Menéndez;12
4;49;General Pinto;Frente De Todos;Jorge Alfredo Zavatarelli;Martinez Bordaisco  Ariel Gerardo;12
5;50;General Pueyrredon;Juntos Por El Cambio;Guillermo Tristán Montenegro;Manuel Anigstein;24
1;51;General Rodriguez;Frente De Todos;Mauro Santiago García;Diego Perrella;18
1;52;General San Martin;Frente De Todos;Gabriel Nicolás Katopodis;Jorge Defendente;24
4;54;General Viamonte;Juntos Por El Cambio;Franco Ariel Flexas;Tomaselli Juan José;12
4;55;General Villegas;Juntos Por El Cambio;Eduardo Lorenzo Campana;María Teresa Caivano;16
6;57;Guamini;Frente De Todos;Ferreira José Augusto Nobre;Adriana Mercedes García;12
4;58;Hipolito Yrigoyen;Frente De Todos;Luis Ignacio Pugnaloni;Damián Selci ;10
1;134;Hurlingham;Frente De Todos;Juan Horacio Zabaleta;Pablo Piana;20
1;133;Ituzaingo;Frente De Todos;Alberto Daniel Descalzo;Caggiano Roque;20
1;129;Jose C. Paz;Frente De Todos;Mario Alberto Ishii;Gabriel J. D' Andrea;24
4;60;Junin;Juntos Por El Cambio;Pablo Alexis Petrecca;Albano  Fernando;20
3;61;La Matanza;Frente De Todos;Tomás Fernando Espinoza;Pintos  Liliana;24
8;63;La Plata;Juntos Por El Cambio;Julio César Garro;Ileana Cid;24
3;62;Lanus;Juntos Por El Cambio;Néstor Osvaldo Grindetti;Rivas Miera  Marcelo;24
6;64;Laprida;Frente De Todos;Pablo J Torres;Dascon  Marcelo;12
5;65;Las Flores;Frente De Todos;Alberto César Gelene;Fabián Blanstein;14
4;66;Leandro N. Alem;Frente De Todos;Carlos Martín Ferraris;María Rosa Cirella;12
5;135;Lezama;Juntos Por El Cambio;Arnaldo Harispe;Mongay  Diego;6
4;67;Lincoln;Juntos Por El Cambio;Salvador Ignacio Serenal;Galinelli  Patricia Nélida;18
5;68;Loberia;Juntos Por El Cambio;Juan José Fioramonti;Hector María Ordoy;12
3;69;Lobos;Juntos Por El Cambio;Jorge Oscar Etcheverry;Horacio Russo;16
3;70;Lomas De Zamora;Frente De Todos;Martín Insaurralde;Marina Lesci;24
1;71;Lujan;Frente De Todos;Leonardo Luis Boto Alvarez;Ariel Notta;20
3;72;Magdalena;Juntos Por El Cambio;Gonzalo Martín Peluso;Mariel Semino;12
5;73;Maipu;Juntos Por El Cambio;Matías Rappallini;María Alza;12
1;130;Malvinas Argentinas;Frente De Todos;Leonardo Javier Nardini;Herrera Carlos Ramón;24
5;74;Mar Chiquita;Frente De Todos;Jorge Alberto Paredi;Carlos Minnuci;14
1;75;Marcos Paz;Frente De Todos;Ricardo Pedro Curutchet;Verónica Casco;18
1;76;Mercedes;Frente De Todos;Juan Ignacio Ustarroz;Matías Dematei;18
1;77;Merlo;Frente De Todos;Gustavo Adolfo Menéndez;Alejandra Hann;24
5;78;Monte;Juntos Por El Cambio;José Matildo Castro;Horacio Bamba;14
1;79;Moreno;Frente De Todos;Melina Mariel Fernández;Quintana Cesar David;24
1;80;Moron;Frente De Todos;Lucas Hernán Ghi;Araceli Bellotta;24
1;81;Navarro;Frente De Todos;Santiago Alejandro Maggiotti;Jorge Laviuzza;12
5;82;Necochea;Juntos Por El Cambio;Arturo Alfredo Rojas;"Facundo  Diz

Paola Magiotti.";20
7;84;Olavarria;Juntos Por El Cambio;Ezequiel Galli;Hernán Trigo Gutierrez;20
5;119;Partido De La Costa;Frente De Todos;Cristian Eduardo Cardozo;Bruno Cenizo;18
6;120;Partido De Monte Hermoso;Frente De Todos;Enrique Alejandro Dichiara;Julio Costantino;8
5;90;Partido De Pinamar;Juntos Por El Cambio;Martín Iván Yeza;Diego Videla;14
5;123;Partido De Villa Gesell;Frente De Todos;Gustavo N Barrera;María Cristina La Menza;16
6;22;Patagones;Juntos Por El Cambio;José Luis Zara;Gabriela Alejandra Taruselli ;16
4;85;Pehuajo;Frente De Todos;Pablo Javier Zurro;Edgardo Javier Menconi;16
6;86;Pellegrini;Juntos Por El Cambio;Guillermo Luis Pacheco;"Maximiliano Voss

Claudia Pombo";10
2;87;Pergamino;Juntos Por El Cambio;Javier Arturo Martínez;Matias Yeannes;20
5;88;Pila;Frente De Todos;Gustavo Alfredo Walker;Hugo Alejandro Cánepa;6
1;89;Pilar;Frente De Todos;Federico De Achaval;Daniela Arrabit;24
3;128;Presidente Peron;Frente De Todos;Blanca Haydeé Cantero;Lisandro Koller;20
6;91;Puan;Juntos Por El Cambio;Facundo David Castelli;David Angueira;12
3;131;Punta Indio;Frente De Todos;Hernán César Y Zurieta;Fabio Baez;10
3;92;Quilmes;Frente De Todos;Mayra Soledad Mendoza;Sergio Costoya;24
2;93;Ramallo;Juntos Por El Cambio;Gustavo Haroldo Perie;Gustavo Palazzo;16
5;94;Rauch;Juntos Por El Cambio;Roberto Maximiliano Suescun;Jorge Pablo Rosolen;12
