NRO,DISTRITO,DENOMINACION,Tipo de Partido,A¤o de recononimiento,N§ de Afiliados,Carta Org nica.,,Senadores P,Diputados P.,Intendente,Concejales 
1,Provincia deBA,UNION CIVICA RADICAL,Partido Provincial,23/06/1983,627054,,,,,,
5,Provincia deBA,PARTIDO JUSTICIALISTA,Partido Provincial,09/06/1983,1146332,,,,,,
8,Provincia deBA,PARTIDO CONSERVADOR POPULAR,Partido Provincial,28/07/1983,10449,,,,,,
18,Provincia deBA,PARTIDO DEMOCRATA PROGRESISTA,Partido Provincial,09/09/1983,4047,,,,,,
27,Provincia deBA,PARTIDO UNION CELESTE Y BLANCO,Partido Provincial,06/07/1987,8908,,,,,,
48,Provincia deBA,FRENTE GRANDE,Partido Provincial,06/08/1997,78783,,,,,,
70,Provincia deBA,PARTIDO NUEVO BUENOS AIRES,Partido Provincial,09/04/2003,9073,,,,,,
74,Provincia deBA,COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA (A.R.I.),Partido Provincial,28/04/2003,14678,,,,,,
83,Provincia deBA,PARTIDO FEDERAL,Partido Provincial,28/12/2004,7890,,,,,,
84,Provincia deBA,PARTIDO DE LA VICTORIA,Partido Provincial,06/04/2005,8901,,,,,,
86,Provincia deBA,PARTIDO SOCIALISTA,Partido Provincial,22/06/2005,26599,,,,,,
91,Provincia deBA,ESPACIO ABIERTO PARA EL DESARROLLO Y LA INTEGRACION SOCIAL,Partido Provincial,06/07/2005,20420,,,,,,
97,Provincia deBA,PARTIDO DEMOCRATA,Partido Provincial,23/03/2007,7755,,,,,,
99,Provincia deBA,MOVIMIENTO LIBRES DEL SUR,Partido Provincial,29/06/2007,11962,,,,,,
106,Provincia deBA,PARTIDO HUMANISTA,Partido Provincial,14/08/2008,8311,,,,,,
107,Provincia deBA,PARTIDO NACIONALISTA CONSTITUCIONAL - UNIR,Partido Provincial,12/03/2009,12316,,,,,,
111,Provincia deBA,GEN,Partido Provincial,31/03/2009,19030,,,,,,
112,Provincia deBA,UNION POR TODOS,Partido Provincial,31/03/2009,35391,,,,,,
115,Provincia deBA,PARTIDO COMUNISTA,Partido Provincial,27/04/2009,8335,,,,,,
116,Provincia deBA,PARTIDO DEL OBRERO,Partido Provincial,27/04/2009,8088,,,,,,
117,Provincia deBA,ENCUENTRO POR LA DEMOCRACIA Y LA EQUIDAD (EDE),Partido Provincial,27/04/2009,10056,,,,,,
126,Provincia deBA,PARTIDO DE TRABAJADORES POR EL SOCIALISMO,Partido Provincial,05/06/2011,7856,,,,,,
130,Provincia deBA,PARTIDO LEALTAD Y DIGNIDAD DE BS.AS.,Partido Provincial,05/06/2011,7944,,,,,,
729,Provincia deBA,FRENTE RENOVADOR AUTENTICO,Partido Provincial,05/06/2011,8587,,,,,,
731,Provincia deBA,UNION POPULAR,Partido Provincial,05/06/2011,10686,,,,,,
733,Provincia deBA,KOLINA,Partido Provincial,11/09/2012,10111,,,,,,
744,Provincia deBA,PARTIDO DE LA CULTURA LA EDUCACION Y EL TRABAJO,Partido Provincial,29/05/2013,9317,,,,,,
755,Provincia deBA,MOVIMIENTO INTEGRACION LATINOAMERICANA DE EXPRESION SOCIAL POR TIERRA, TECHO Y TRABAJO M.I.L.E.S.T.T.T,Partido Provincial,02/06/2013,14175,,,,,,
764,Provincia deBA,FRENTE H.A.C.E.R. POR EL PROGRESO SOCIAL,Partido Provincial,24/09/2014,9159,,,,,,
766,Provincia deBA,PARTIDO RENOVADOR FEDERAL,Partido Provincial,22/12/2014,7919,,,,,,
779,Provincia deBA,TERCERA POSICION,Partido Provincial,30/04/2015,8005,,,,,,
796,Provincia deBA,UNION POR LA LIBERTAD,Partido Provincial,18/05/2015,8594,,,,,,
801,Provincia deBA,PARTIDO DEL DIALOGO,Partido Provincial,26/05/2015,9084,,,,,,
802,Provincia deBA,PROPUESTA FEDERAL PARA EL CAMBIO PRO-FED,Partido Provincial,26/05/2015,8114,,,,,,
803,Provincia deBA,IZQUIERDA POR UNA OPCION SOCIALISTA,Partido Provincial,26/05/2015,8198,,,,,,
804,Provincia deBA,PARTIDO FE,Partido Provincial,26/05/2015,10411,,,,,,
816,Provincia deBA,PARTIDO DIGNIDAD POPULAR,Partido Provincial,02/05/2017,8996,,,,,,
817,Provincia deBA,NUEVA IZQUIERDA,Partido Provincial,02/05/2017,8553,,,,,,
818,Provincia deBA,CORRIENTE DE PENSAMIENTO BONAERENSE (CO.PE.BO),Partido Provincial,02/05/2017,20196,,,,,,
835,Provincia deBA,PRO-PROPUESTA REPUBLICANA,Partido Provincial,29/05/2017,41244,,,,,,
841,Provincia deBA,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL (PAIS),Partido Provincial,30/05/2017,11490,,,,,,
844,Provincia deBA,MOVIMIENTO AVANZADA SOCIALISTA,Partido Provincial,30/05/2017,8838,,,,,,
849,Provincia deBA,PARTIDO INTEGRAR,Partido Provincial,11/12/2018,8807,,,,,,
864,Provincia deBA,PARTIDO MOVIMIENTO ORGANIZACION DEMOCRATICA,Partido Provincial,07/05/2019,7853,,,,,,
865,Provincia deBA,PARTIDO FRENTE PATRIOTA,Partido Provincial,07/05/2019,11098,,,,,,
878,Provincia deBA,PARTIDO DEL TRABAJO Y DEL PUEBLO,Partido Provincial,17/05/2019,8381,,,,,,
880,Provincia deBA,COMPROMISO FEDERAL,Partido Provincial,17/05/2019,9790,,,,,,
889,Provincia deBA,PARTIDO IZQUIERDA POPULAR,Partido Provincial,31/05/2019,9816,,,,,,
